Product,Current Stock,Predicted Demand (7 days),Restock Quantity
Cashew Cookies 35GM,32,14,-
Ashvashila Strip 20 Cap,14,11,-
COW GHEE 1 LT ( SRI-SRI ),17,7,-
Ashwagandha Strip 20 Cap,33,4,-
Aloevera Gel 150ML,12,3,-
Atta Noodle Desi Masala 60GM,162,3,-
Balm 25GM,4,2,-
COW GHEE 1 LT ,16,2,-
Adore Heena Black 25GM,10,2,-
Adore Heena Dark Brown 25GM,18,2,-
Adore Amla Powder 100GM,6,2,-
Amla Swaras 1LTR,12,2,-
Adore Heena Indigo Powder 100GM,11,2,-
DANT KANTI F P 200 + 100 + TOOTHBRUSH/SENITI,3,2,-
Brahmi Juice,8,2,-
AD Oil,1,1,-
Aloe Vera Body Cleanser 150GM,12,1,-
Anti Wrinkle Cream,3,1,-
Atta Noodle Chatpata 60GM,88,1,-
Arshkalp Vati 40 Tab,4,1,-
CYSTOGRIT DIAMOND TAB 20,3,1,-
Adore Multani Mitti Powder 100GM,3,1,-
Atta Noodle Classic 60GM,35,1,-
Aastha Agarbati Lavender 20GM,6,1,-
Adore Heena Burgundy 60GM,1,1,-
Beauty Cream 50GM,3,1,-
Arogyavardhani Vati Tab 160,3,1,-
